batch_id,template_id,position,transcript_id,model_id,game,experiment,instance,domain
CODE-01,CODE-01,1,dair2b__codenames__frequency_high__instance_00009,dair2b,codenames,frequency_high,instance_00009,clem_indomain
CODE-01,CODE-01,2,qwen27b__codenames__association_easy__instance_00004,qwen27b,codenames,association_easy,instance_00004,clem_indomain
CODE-01,CODE-01,3,qwen27b__codenames__opponent_none__instance_00002,qwen27b,codenames,opponent_none,instance_00002,clem_indomain
CODE-02,CODE-02,1,dair2b__codenames__concrete__instance_00007,dair2b,codenames,concrete,instance_00007,clem_indomain
CODE-02,CODE-02,2,dair2b__codenames__opponent_none__instance_00002,dair2b,codenames,opponent_none,instance_00002,clem_indomain
CODE-02,CODE-02,3,llp9b__codenames__risk_high__instance_00005,llp9b,codenames,risk_high,instance_00005,clem_indomain
CODE-03,CODE-03,1,cityuol2b__codenames__association_difficult__instance_00000,cityuol2b,codenames,association_difficult,instance_00000,clem_indomain
CODE-03,CODE-03,2,cityuol2b__codenames__opponent_easy__instance_00006,cityuol2b,codenames,opponent_easy,instance_00006,clem_indomain
CODE-03,CODE-03,3,llp9b__codenames__opponent_difficult__instance_00008,llp9b,codenames,opponent_difficult,instance_00008,clem_indomain
CODE-04,CODE-04,1,dair2b__codenames__frequency_low__instance_00005,dair2b,codenames,frequency_low,instance_00005,clem_indomain
CODE-04,CODE-04,2,qwen27b__codenames__frequency_high__instance_00009,qwen27b,codenames,frequency_high,instance_00009,clem_indomain
CODE-04,CODE-04,3,qwen27b__codenames__opponent_difficult__instance_00008,qwen27b,codenames,opponent_difficult,instance_00008,clem_indomain
CODE-05,CODE-05,1,llp9b__codenames__association_easy__instance_00004,llp9b,codenames,association_easy,instance_00004,clem_indomain
CODE-05,CODE-05,2,llp9b__codenames__opponent_none__instance_00002,llp9b,codenames,opponent_none,instance_00002,clem_indomain
CODE-05,CODE-05,3,qwen27b__codenames__opponent_easy__instance_00006,qwen27b,codenames,opponent_easy,instance_00006,clem_indomain
CODE-06,CODE-06,1,dair2b__codenames__ambiguous__instance_00001,dair2b,codenames,ambiguous,instance_00001,clem_indomain
CODE-06,CODE-06,2,dair2b__codenames__association_difficult__instance_00000,dair2b,codenames,association_difficult,instance_00000,clem_indomain
CODE-06,CODE-06,3,llp9b__codenames__risk_low__instance_00001,llp9b,codenames,risk_low,instance_00001,clem_indomain
CODE-07,CODE-07,1,dair2b__codenames__opponent_easy__instance_00006,dair2b,codenames,opponent_easy,instance_00006,clem_indomain
CODE-07,CODE-07,2,dair2b__codenames__unambiguous__instance_00004,dair2b,codenames,unambiguous,instance_00004,clem_indomain
CODE-07,CODE-07,3,qwen27b__codenames__concrete__instance_00007,qwen27b,codenames,concrete,instance_00007,clem_indomain
CODE-08,CODE-08,1,cityuol2b__codenames__frequency_low__instance_00005,cityuol2b,codenames,frequency_low,instance_00005,clem_indomain
CODE-08,CODE-08,2,llp9b__codenames__ambiguous__instance_00001,llp9b,codenames,ambiguous,instance_00001,clem_indomain
CODE-08,CODE-08,3,llp9b__codenames__association_difficult__instance_00000,llp9b,codenames,association_difficult,instance_00000,clem_indomain
CODE-09,CODE-09,1,cityuol2b__codenames__risk_high__instance_00005,cityuol2b,codenames,risk_high,instance_00005,clem_indomain
CODE-09,CODE-09,2,llp9b__codenames__opponent_easy__instance_00006,llp9b,codenames,opponent_easy,instance_00006,clem_indomain
CODE-09,CODE-09,3,qwen27b__codenames__association_difficult__instance_00000,qwen27b,codenames,association_difficult,instance_00000,clem_indomain
CODE-10,CODE-10,1,cityuol2b__codenames__risk_low__instance_00001,cityuol2b,codenames,risk_low,instance_00001,clem_indomain
CODE-10,CODE-10,2,llp9b__codenames__unambiguous__instance_00004,llp9b,codenames,unambiguous,instance_00004,clem_indomain
CODE-10,CODE-10,3,qwen27b__codenames__risk_high__instance_00005,qwen27b,codenames,risk_high,instance_00005,clem_indomain
