transcript_id,model_id,model_folder,model_name,domain,game,experiment,instance,source_path
cityuol2b__codenames__abstract__instance_00003,cityuol2b,CityUoL__qwen3.5-2b__Qwen-GuidePlay-2B-v1,CityUoL__qwen3.5-2b__Qwen-GuidePlay-2B-v1,clem_indomain,codenames,abstract,instance_00003,games_final/clem_indomain/CityUoL__qwen3.5-2b__Qwen-GuidePlay-2B-v1/codenames/abstract/instance_00003/interactions.json
dair2b__codenames__abstract__instance_00003,dair2b,DAIR__qwen3.5-2b__sft-dpo-v2,DAIR__qwen3.5-2b__sft-dpo-v2,clem_indomain,codenames,abstract,instance_00003,games_final/clem_indomain/DAIR__qwen3.5-2b__sft-dpo-v2/codenames/abstract/instance_00003/interactions.json
llp9b__codenames__abstract__instance_00003,llp9b,LLP: Large Language Problems__qwen3.5-9b__llp-final,LLP: Large Language Problems__qwen3.5-9b__llp-final,clem_indomain,codenames,abstract,instance_00003,games_final/clem_indomain/LLP: Large Language Problems__qwen3.5-9b__llp-final/codenames/abstract/instance_00003/interactions.json
qwen27b__codenames__abstract__instance_00003,qwen27b,qwen3.5-27b,qwen3.5-27b,clem_indomain,codenames,abstract,instance_00003,games_final/clem_indomain/qwen3.5-27b/codenames/abstract/instance_00003/interactions.json
cityuol2b__codenames__ambiguous__instance_00001,cityuol2b,CityUoL__qwen3.5-2b__Qwen-GuidePlay-2B-v1,CityUoL__qwen3.5-2b__Qwen-GuidePlay-2B-v1,clem_indomain,codenames,ambiguous,instance_00001,games_final/clem_indomain/CityUoL__qwen3.5-2b__Qwen-GuidePlay-2B-v1/codenames/ambiguous/instance_00001/interactions.json
dair2b__codenames__ambiguous__instance_00001,dair2b,DAIR__qwen3.5-2b__sft-dpo-v2,DAIR__qwen3.5-2b__sft-dpo-v2,clem_indomain,codenames,ambiguous,instance_00001,games_final/clem_indomain/DAIR__qwen3.5-2b__sft-dpo-v2/codenames/ambiguous/instance_00001/interactions.json
llp9b__codenames__ambiguous__instance_00001,llp9b,LLP: Large Language Problems__qwen3.5-9b__llp-final,LLP: Large Language Problems__qwen3.5-9b__llp-final,clem_indomain,codenames,ambiguous,instance_00001,games_final/clem_indomain/LLP: Large Language Problems__qwen3.5-9b__llp-final/codenames/ambiguous/instance_00001/interactions.json
qwen27b__codenames__ambiguous__instance_00001,qwen27b,qwen3.5-27b,qwen3.5-27b,clem_indomain,codenames,ambiguous,instance_00001,games_final/clem_indomain/qwen3.5-27b/codenames/ambiguous/instance_00001/interactions.json
cityuol2b__codenames__association_difficult__instance_00000,cityuol2b,CityUoL__qwen3.5-2b__Qwen-GuidePlay-2B-v1,CityUoL__qwen3.5-2b__Qwen-GuidePlay-2B-v1,clem_indomain,codenames,association_difficult,instance_00000,games_final/clem_indomain/CityUoL__qwen3.5-2b__Qwen-GuidePlay-2B-v1/codenames/association_difficult/instance_00000/interactions.json
dair2b__codenames__association_difficult__instance_00000,dair2b,DAIR__qwen3.5-2b__sft-dpo-v2,DAIR__qwen3.5-2b__sft-dpo-v2,clem_indomain,codenames,association_difficult,instance_00000,games_final/clem_indomain/DAIR__qwen3.5-2b__sft-dpo-v2/codenames/association_difficult/instance_00000/interactions.json
